inventory_id,product_id,stock_remaining,ware_house_id,restock_date
1,399,25,5,1/12/2025
2,156,303,10,11/28/2024
3,371,98,7,10/8/2024
4,235,454,4,5/24/2024
5,345,287,6,5/15/2024
6,341,291,2,5/30/2024
7,278,346,9,7/21/2024
8,24,351,1,10/2/2024
9,496,174,5,3/10/2024
10,49,309,6,11/16/2024
11,421,244,10,5/16/2024
12,338,288,10,8/18/2024
13,293,55,8,4/12/2024
14,28,72,9,2/21/2024
15,140,174,9,5/12/2024
16,163,154,9,8/6/2024
17,60,321,9,12/25/2024
18,295,56,2,7/3/2024
19,226,231,2,1/9/2025
20,333,67,3,2/21/2024
21,412,319,3,4/14/2024
22,304,374,5,12/20/2024
23,437,496,7,5/25/2024
24,228,63,10,4/20/2024
25,245,386,6,2/13/2024
26,253,305,3,1/21/2025
27,257,312,7,7/6/2024
28,85,77,4,2/21/2024
29,13,314,8,8/2/2024
30,310,43,2,2/12/2024
31,284,271,9,8/17/2024
32,78,72,9,4/17/2024
33,471,91,3,12/13/2024
34,231,309,9,11/20/2024
35,244,19,4,7/19/2024
36,222,11,7,6/1/2024
37,411,175,10,7/18/2024
38,88,446,1,8/9/2024
39,104,148,9,5/18/2024
40,386,444,10,5/22/2024
41,311,74,4,9/29/2024
42,247,58,2,9/22/2024
43,86,196,10,7/6/2024
44,93,458,5,10/20/2024
45,467,43,9,8/23/2024
46,256,141,2,1/29/2025
47,102,144,6,11/16/2024
48,263,87,7,9/21/2024
49,276,364,1,9/2/2024
50,322,49,5,4/1/2024
51,17,332,2,6/17/2024
52,159,65,7,6/25/2024
53,474,212,9,2/22/2024
54,179,259,10,9/25/2024
55,102,288,7,12/27/2024
56,202,317,5,2/21/2024
57,204,71,10,12/30/2024
58,292,222,8,10/28/2024
59,107,424,6,5/2/2024
60,483,393,5,8/14/2024
61,88,48,2,10/7/2024
62,99,244,2,2/12/2024
63,388,369,4,11/1/2024
64,287,295,7,7/17/2024
65,292,92,4,4/4/2024
66,267,432,3,10/9/2024
67,65,51,3,8/15/2024
68,33,326,9,5/30/2024
69,364,113,4,6/22/2024
70,402,188,9,12/16/2024
71,419,244,9,3/29/2024
72,178,272,9,2/26/2024
73,38,180,3,2/13/2024
74,182,219,9,4/17/2024
75,154,263,8,4/17/2024
76,311,283,7,12/29/2024
77,204,303,1,10/19/2024
78,6,162,5,10/1/2024
79,366,417,9,6/8/2024
80,41,394,5,4/6/2024
81,376,183,6,12/11/2024
82,121,335,4,7/13/2024
83,299,185,8,11/1/2024
84,64,98,1,9/26/2024
85,103,453,9,5/7/2024
86,246,30,1,2/4/2025
87,111,155,6,8/1/2024
88,331,446,1,1/17/2025
89,362,397,3,1/15/2025
90,424,417,10,12/25/2024
91,272,72,9,4/6/2024
92,472,126,2,4/26/2024
93,164,411,8,9/4/2024
94,445,334,5,8/8/2024
95,168,479,6,7/29/2024
96,213,110,7,4/29/2024
97,24,342,10,8/3/2024
98,275,141,6,3/28/2024
99,389,110,6,4/15/2024
100,4,35,5,7/21/2024
101,63,395,3,7/9/2024
102,438,179,8,9/19/2024
103,117,202,6,8/10/2024
104,429,461,5,3/31/2024
105,153,434,2,11/14/2024
106,118,373,3,9/19/2024
107,460,219,1,8/16/2024
108,311,124,1,1/7/2025
109,32,113,5,10/1/2024
110,248,214,8,1/31/2025
111,188,416,9,1/26/2025
112,138,170,2,3/24/2024
113,238,325,4,10/1/2024
114,161,32,6,8/22/2024
115,176,327,2,10/1/2024
116,49,100,9,8/17/2024
117,307,203,8,11/21/2024
118,79,89,5,9/17/2024
119,448,208,1,7/27/2024
120,161,395,10,11/9/2024
121,237,298,6,8/21/2024
122,1,116,6,4/18/2024
123,430,310,3,2/29/2024
124,388,373,8,9/3/2024
125,479,146,5,1/23/2025
126,437,299,7,6/4/2024
127,366,389,4,4/13/2024
128,155,87,2,2/19/2024
129,438,139,6,11/20/2024
130,330,369,1,4/4/2024
131,213,246,5,6/24/2024
132,53,452,6,12/12/2024
133,230,344,8,4/16/2024
134,202,97,10,4/20/2024
135,472,105,3,5/1/2024
136,339,132,8,7/13/2024
137,349,173,7,6/3/2024
138,333,402,10,10/17/2024
139,259,373,5,8/2/2024
140,243,85,1,7/11/2024
141,57,382,5,6/16/2024
142,22,402,3,12/12/2024
143,248,172,5,3/9/2024
144,361,46,7,1/7/2025
145,159,382,2,1/8/2025
146,393,24,10,4/23/2024
147,319,143,4,7/7/2024
148,254,348,7,10/3/2024
149,61,249,8,11/2/2024
150,364,63,4,5/7/2024
151,144,273,10,6/20/2024
152,349,244,4,6/17/2024
153,196,486,3,12/14/2024
154,458,31,9,3/27/2024
155,14,219,6,9/28/2024
156,250,7,8,8/26/2024
157,334,180,9,8/31/2024
158,209,253,8,12/22/2024
159,247,305,3,6/23/2024
160,184,268,3,5/28/2024
161,42,381,5,9/2/2024
162,419,290,3,10/10/2024
163,494,203,9,10/7/2024
164,17,280,4,9/17/2024
165,310,296,9,11/3/2024
166,356,195,7,8/31/2024
167,278,1,4,6/11/2024
168,125,20,9,12/9/2024
169,90,336,2,3/7/2024
170,10,395,2,10/7/2024
171,9,402,2,4/10/2024
172,43,15,10,8/9/2024
173,314,425,2,1/15/2025
174,480,131,6,5/7/2024
175,424,470,6,1/30/2025
176,300,194,3,9/15/2024
177,454,487,4,3/22/2024
178,102,64,5,7/20/2024
179,318,275,9,4/13/2024
180,230,9,4,2/1/2025
181,389,16,8,10/16/2024
182,205,355,6,8/27/2024
183,66,163,10,5/22/2024
184,91,22,1,4/16/2024
185,90,441,5,11/21/2024
186,451,137,8,10/17/2024
187,453,345,2,7/13/2024
188,236,342,4,4/13/2024
189,433,335,2,1/24/2025
190,230,133,1,3/11/2024
191,278,425,2,8/11/2024
192,322,276,1,9/3/2024
193,262,461,7,12/24/2024
194,275,151,4,1/20/2025
195,301,479,5,11/27/2024
196,283,484,9,7/6/2024
197,127,373,5,12/29/2024
198,155,391,3,6/23/2024
199,400,130,3,8/30/2024
200,172,466,1,1/2/2025
201,102,221,5,3/6/2024
202,220,444,8,7/19/2024
203,104,467,6,2/2/2025
204,499,430,2,5/7/2024
205,494,68,10,12/21/2024
206,310,301,10,5/3/2024
207,434,123,5,9/8/2024
208,400,146,8,6/5/2024
209,44,485,6,6/24/2024
210,15,449,6,4/13/2024
211,298,3,2,11/24/2024
212,251,123,3,8/3/2024
213,399,262,5,7/19/2024
214,84,489,5,7/21/2024
215,140,17,4,5/26/2024
216,2,378,7,7/21/2024
217,178,267,8,9/10/2024
218,197,29,2,11/3/2024
219,200,441,7,7/5/2024
220,345,83,4,9/18/2024
221,24,92,3,4/10/2024
222,454,287,3,9/27/2024
223,52,197,5,3/3/2024
224,247,285,6,7/11/2024
225,456,363,5,3/23/2024
226,363,492,3,3/27/2024
227,10,79,2,3/19/2024
228,1,449,2,6/2/2024
