order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,583,244,4,274.55,456.95
2,785,411,2,671.2,1835.22
3,1381,416,1,156.09,637.73
4,1747,193,5,465.43,894
5,281,67,5,491.62,3927.5
6,675,284,2,637.88,615.87
7,1711,366,4,948.83,2300.97
8,1808,30,3,973.93,3994.43
9,783,204,4,389.61,3976.74
10,692,438,4,193.93,2832.28
11,570,396,4,590.94,4559.69
12,1796,406,1,677.32,4623.16
13,512,80,3,945.54,46.1
14,358,220,5,398.16,4532.48
15,1026,247,2,834.03,1209.81
16,759,475,1,595.82,1731.55
17,1798,115,1,872.38,2272.57
18,1532,161,2,682.82,4532.25
19,239,421,2,938.78,836.88
20,665,118,5,997.39,1125.23
21,1768,387,5,121.35,1370.18
22,1468,229,1,670.96,4308.89
23,1363,333,4,425.44,1375.17
24,1483,247,1,479.71,4947.36
25,1257,303,4,171.96,1451.83
26,904,163,2,204.06,4730.8
27,36,245,2,53.53,3567.75
28,1831,498,1,929.7,1675.47
29,591,203,2,380.98,4875.14
30,1670,331,2,841.74,4718.61
31,822,298,1,307.45,1896.49
32,752,432,3,45.29,1139.7
33,878,343,3,233.51,4009.42
34,885,320,2,867.32,2638.81
35,526,497,5,127.51,3891.03
36,1296,55,2,252.89,1795.36
37,1743,42,3,327.96,4515.26
38,365,269,4,586.3,4901.35
39,1269,376,5,110.54,3321.31
40,1493,387,4,774.42,852.83
41,1337,73,1,421.81,4654.8
42,166,19,2,691.88,515.22
43,1911,120,4,563.77,1985.36
44,1733,186,4,276.01,1762.79
45,1010,221,1,288.27,4871.79
46,1106,464,3,226.59,4021.9
47,810,65,3,514.28,4673.19
48,1432,107,1,379.68,2633.85
49,359,16,5,882.27,893.63
50,975,310,2,247.96,466.49
51,41,83,4,931.04,1394.37
52,1742,285,5,745.47,183.44
53,426,175,3,62.64,3961.86
54,42,333,4,812.25,1269.57
55,339,408,1,688.26,753.51
56,811,215,4,667.57,2936.04
57,1718,146,2,344.42,4924.03
58,756,458,4,822.69,4079.74
59,1179,263,1,696.01,4459.11
60,167,257,5,485.41,1902.02
61,104,334,4,70.87,862.88
62,799,222,3,993.85,711.64
63,842,431,3,252.12,2033.45
64,1312,244,4,372.23,4405.49
65,273,161,4,449.92,780.26
66,1712,367,4,891.77,675.8
67,1295,156,4,49.12,4443.54
68,828,380,4,117.82,364.53
69,34,116,2,515.92,408.34
70,1646,203,2,732.32,4307.84
71,723,49,4,321,1132.73
72,1860,500,3,523.73,3624.53
73,1701,397,2,145.81,3203.78
74,1161,100,5,385.38,792.45
75,787,69,1,632.93,1277.58
76,1075,191,4,940.09,2542.62
77,189,409,3,669.05,4082.98
78,452,158,2,842.65,204.9
79,1622,240,5,572.81,2799.56
80,1975,199,2,55.55,3604.72
81,299,405,2,545.36,4037.59
82,1639,106,4,868.89,4991.33
83,1466,257,2,511.63,1990.47
84,1133,452,3,476.43,2633.71
85,833,479,3,718.2,1687.58
86,727,72,4,85.13,265.82
87,18,499,4,469.72,2587.96
88,1727,1,5,889.03,4972.24
89,1269,497,5,408.3,4025.78
90,1660,80,1,670.69,1515.85
91,1794,326,3,974.77,1371.06
92,802,349,3,302.04,3855.36
