shipping_id,order_id,delivery_status,shipping_date,return_date
1,1971,Delayed,3/18/2024,
2,812,Delivered,4/28/2024,12/17/2024
3,70,Delayed,7/28/2024,
4,1757,Delivered,6/30/2024,3/8/2024
5,1835,Delayed,6/9/2024,5/21/2024
6,376,Delayed,5/4/2024,3/24/2024
7,1115,Delivered,11/10/2024,11/4/2024
8,1836,Returned,8/9/2024,11/3/2024
9,1477,Delivered,4/29/2024,2/29/2024
10,98,Delivered,3/31/2024,3/15/2024
11,589,Delayed,3/16/2024,
12,279,Delivered,12/3/2024,11/10/2024
13,526,Returned,4/25/2024,12/28/2024
14,894,Delivered,9/23/2024,11/19/2024
15,542,In Transit,9/8/2024,5/19/2024
16,404,Delivered,4/22/2024,8/17/2024
17,876,Returned,12/3/2024,6/19/2024
18,1702,Delivered,12/11/2024,12/12/2024
19,1029,In Transit,10/20/2024,7/5/2024
20,653,Delayed,4/20/2024,10/22/2024
21,280,Delayed,7/20/2024,2/20/2024
22,725,In Transit,1/14/2025,12/18/2024
23,83,Delivered,1/28/2025,6/6/2024
24,41,In Transit,12/29/2024,
25,502,Delivered,2/18/2024,12/31/2024
26,472,In Transit,8/27/2024,4/21/2024
27,1450,Returned,2/7/2025,8/20/2024
28,1098,In Transit,9/10/2024,
29,532,Returned,7/5/2024,12/28/2024
30,1314,Delayed,8/22/2024,1/3/2025
31,732,Returned,6/1/2024,8/16/2024
32,970,Returned,7/26/2024,2/23/2024
33,503,Delayed,5/25/2024,10/4/2024
34,1441,Delayed,2/28/2024,3/4/2024
35,224,Delivered,7/8/2024,6/23/2024
36,1517,In Transit,5/22/2024,1/3/2025
37,1469,Returned,2/29/2024,10/19/2024
38,689,Delayed,10/27/2024,2/5/2025
39,1033,Returned,6/3/2024,4/30/2024
40,600,Delayed,6/14/2024,
41,1042,Delivered,2/17/2024,11/6/2024
42,1415,In Transit,9/6/2024,5/27/2024
43,904,In Transit,7/18/2024,11/22/2024
44,1042,Delivered,2/12/2024,2/21/2024
45,68,Returned,10/31/2024,10/16/2024
46,1673,Delivered,7/16/2024,
47,682,Delayed,3/8/2024,3/9/2024
48,946,In Transit,4/12/2024,8/13/2024
49,556,Delayed,1/28/2025,2/27/2024
50,126,Delivered,8/28/2024,12/24/2024
51,1851,Delivered,6/14/2024,6/10/2024
52,123,In Transit,5/13/2024,7/17/2024
53,1373,Delayed,7/16/2024,5/16/2024
54,180,Delivered,3/13/2024,3/14/2024
55,267,Returned,1/1/2025,12/3/2024
56,687,Returned,6/17/2024,1/22/2025
57,1765,Delivered,1/21/2025,1/21/2025
58,109,Delayed,3/9/2024,10/10/2024
59,505,Delivered,6/25/2024,5/19/2024
60,70,Delayed,6/19/2024,8/13/2024
61,1242,In Transit,6/27/2024,3/8/2024
62,1053,Returned,3/2/2024,6/22/2024
63,860,In Transit,3/5/2024,7/3/2024
64,781,Returned,7/14/2024,7/4/2024
65,1761,In Transit,6/5/2024,10/14/2024
66,1961,Returned,12/9/2024,7/10/2024
67,1797,Delayed,2/25/2024,9/1/2024
68,1402,Delayed,1/27/2025,6/11/2024
69,1345,Delivered,11/23/2024,5/8/2024
70,1635,In Transit,1/2/2025,3/4/2024
71,372,Delivered,7/17/2024,12/24/2024
72,135,In Transit,1/11/2025,4/13/2024
73,1279,In Transit,12/19/2024,12/20/2024
74,261,Delayed,11/1/2024,10/6/2024
75,1273,Returned,8/10/2024,3/4/2024
76,1141,In Transit,5/20/2024,8/31/2024
77,1900,Delayed,11/12/2024,
78,1454,Returned,1/7/2025,12/7/2024
79,1398,In Transit,1/30/2025,8/9/2024
80,323,Returned,9/9/2024,
