order_id,order_date,customer_id,order_status,product_id,seller_id,
1,3/4/2024,990,Shipped,199,87,
2,12/12/2024,910,Delivered,483,36,
3,4/24/2024,113,Cancelled,272,74,
4,3/25/2024,359,Shipped,380,77,
5,6/26/2024,130,Shipped,382,94,
6,6/18/2024,430,Pending,343,33,
7,7/2/2024,908,Cancelled,91,7,
8,6/11/2024,721,Shipped,167,48,
9,3/13/2024,974,Delivered,284,29,
10,2/16/2024,52,Delivered,281,7,
11,7/11/2024,851,Cancelled,500,94,
12,5/15/2024,885,Cancelled,338,13,
13,5/5/2024,666,Delivered,463,47,
14,2/18/2024,608,Shipped,141,80,
15,1/6/2025,158,Cancelled,186,97,
16,4/21/2024,115,Pending,190,5,
17,10/30/2024,838,Pending,230,72,
18,9/13/2024,791,Pending,441,54,
19,7/10/2024,255,Cancelled,60,56,
20,7/18/2024,769,Pending,149,49,
21,10/23/2024,103,Pending,285,40,
22,7/1/2024,405,Pending,330,67,
23,2/15/2024,280,Cancelled,122,45,
24,2/15/2024,270,Delivered,445,67,
25,10/19/2024,68,Delivered,38,76,
26,12/30/2024,707,Cancelled,32,4,
27,11/3/2024,500,Pending,82,24,
28,11/27/2024,201,Shipped,478,82,
29,6/7/2024,376,Shipped,497,11,
30,1/23/2025,448,Shipped,174,65,
31,11/14/2024,27,Delivered,52,96,
32,5/30/2024,116,Cancelled,45,24,
33,9/6/2024,306,Shipped,139,47,
34,6/12/2024,306,Pending,253,21,
35,8/28/2024,26,Cancelled,281,87,
36,2/27/2024,108,Pending,265,59,
37,3/13/2024,897,Shipped,28,71,
38,11/15/2024,239,Delivered,239,44,
39,8/24/2024,986,Shipped,172,68,
40,4/21/2024,642,Cancelled,306,50,
41,1/1/2025,11,Delivered,34,32,
42,11/10/2024,656,Shipped,466,77,
43,3/7/2024,376,Pending,377,43,
44,9/27/2024,933,Pending,62,46,
45,11/25/2024,733,Cancelled,175,45,
46,12/24/2024,632,Cancelled,219,57,
47,9/14/2024,988,Delivered,74,28,
48,5/11/2024,522,Pending,379,57,
49,2/25/2024,596,Delivered,86,81,
50,1/2/2025,199,Delivered,328,67,
51,8/18/2024,210,Pending,391,38,
52,9/16/2024,602,Pending,158,7,
53,11/13/2024,331,Cancelled,369,36,
54,7/20/2024,399,Shipped,221,55,
55,10/22/2024,691,Shipped,15,19,
56,5/22/2024,427,Cancelled,6,83,
57,9/20/2024,678,Shipped,365,95,
58,8/9/2024,626,Pending,333,7,
59,3/18/2024,18,Pending,270,73,
60,10/9/2024,527,Delivered,65,69,
61,11/27/2024,929,Cancelled,197,51,
62,4/18/2024,973,Pending,310,23,
63,12/20/2024,672,Shipped,305,30,
64,1/3/2025,320,Delivered,28,16,
65,1/31/2025,369,Pending,177,71,
66,5/14/2024,498,Pending,408,62,
67,10/20/2024,136,Pending,463,73,
68,11/26/2024,551,Delivered,117,46,
69,5/15/2024,436,Shipped,383,96,
70,10/19/2024,884,Shipped,345,70,
71,8/10/2024,578,Cancelled,341,1,
72,3/6/2024,853,Cancelled,232,93,
73,7/8/2024,259,Delivered,34,34,
74,9/23/2024,494,Pending,36,68,
75,5/9/2024,359,Delivered,328,32,
76,9/4/2024,276,Delivered,233,44,
77,10/26/2024,630,Cancelled,19,34,
78,2/12/2024,511,Pending,264,30,
79,4/28/2024,351,Cancelled,51,10,
80,10/15/2024,248,Delivered,284,4,
81,8/16/2024,414,Cancelled,474,30,
82,7/17/2024,379,Delivered,469,46,
83,11/28/2024,409,Cancelled,299,8,
84,11/28/2024,147,Shipped,493,78,
85,2/1/2025,71,Delivered,63,6,
86,3/20/2024,968,Delivered,420,29,
87,11/9/2024,870,Pending,162,6,
88,9/30/2024,233,Cancelled,280,65,
89,8/16/2024,602,Cancelled,356,94,
90,6/17/2024,442,Shipped,460,78,
91,10/14/2024,787,Pending,474,73,
92,2/2/2025,147,Delivered,203,51,
93,5/9/2024,428,Cancelled,293,98,
94,2/1/2025,448,Pending,35,92,
95,7/4/2024,906,Shipped,65,71,
