product_id,product_name,price,cogs,category_id,seller_id
1,Car Cover,448.19,411.77,8,1
2,Perfume,984.52,246.6,5,48
3,GPS Navigator,749.63,481.2,8,71
4,Air Fryer,693.55,343.75,4,49
5,Sneakers,795.48,247.25,2,34
6,Tire Inflator,494.07,415.13,8,43
7,Lipstick,80.32,263.8,5,39
8,Snacks,636.24,241.21,9,35
9,Shampoo,689.32,172.3,5,31
10,Sneakers,527.1,461.09,2,47
11,Headphones,326.29,133.73,1,40
12,Coffee Maker,290.11,101.77,4,15
13,T-Shirt,281.13,471.88,2,54
14,Fiction Novel,736.23,84.63,3,18
15,Pasta,360.42,174.11,9,98
16,Fiction Novel,176.21,92.69,3,13
17,Jacket,772.43,291.16,2,76
18,Bluetooth Speaker,859.12,65.93,1,65
19,Dollhouse,368.71,86.75,7,73
20,Dumbbells,767.16,66.79,6,75
21,Air Fryer,769.06,206.21,4,69
22,Smartwatch,496.18,345.03,1,12
23,Cookbook,181.15,422.53,3,89
24,LEGO Set,967.7,327.9,7,77
25,LEGO Set,637.36,110.21,7,41
26,Sanitizer,561.98,200.3,10,14
27,Perfume,345.53,55.5,5,17
28,Mystery Thriller,609.17,44.45,3,13
29,Bluetooth Speaker,394.81,143.11,1,87
30,Cookbook,709.03,203.44,3,57
31,Lipstick,691.45,249.94,5,87
32,Bluetooth Speaker,264.23,499.72,1,65
33,Fiction Novel,738.23,63.77,3,83
34,Mystery Thriller,315.54,270.42,3,61
35,Dashboard Camera,615.66,449.65,8,93
36,Vacuum Cleaner,290.08,407.57,4,13
37,Dumbbells,989.96,276.97,6,64
38,Car Cover,593.24,210.24,8,4
39,LEGO Set,233.22,152.75,7,92
40,Snacks,622.56,176.86,9,86
41,Mystery Thriller,592.16,315.68,3,94
42,Bluetooth Speaker,645.41,217.85,1,48
43,Smartwatch,667.06,463.04,1,3
44,Air Fryer,522.43,482.79,4,11
45,Dollhouse,560.56,495.6,7,87
46,Vacuum Cleaner,303.15,109.75,4,64
47,Pain Reliever,282.91,173.66,10,20
48,Bicycle,890.32,304.17,6,37
49,Fiction Novel,511.89,143.68,3,34
50,Vitamin C,73.7,236.55,10,16
51,Football,642.07,106.89,6,32
52,Cereal,697.11,339.25,9,79
53,Headphones,464.32,360.91,1,38
54,Sweater,785.78,333.92,2,28
55,Football,870.34,380.17,6,4
56,Science Textbook,52.58,26.75,3,98
57,Air Fryer,730.98,447.17,4,87
58,Science Textbook,782.36,415.22,3,99
59,Smartphone,909.88,115.98,1,29
60,Olive Oil,292.56,434.42,9,87
61,Dashboard Camera,364.85,152.35,8,64
62,Sneakers,635.43,483.07,2,16
63,Yoga Mat,93.69,119.46,6,66
64,Blender,530.71,448.71,4,93
65,Pain Reliever,342.4,418.88,10,81
66,Laptop,708.58,113.75,1,79
67,Nail Polish,277.97,272.47,5,57
68,Tire Inflator,573.55,11.73,8,79
69,Nail Polish,593.56,456.75,5,23
70,Pasta,522.91,415.5,9,77
71,Remote Car,425.2,8.18,7,91
72,Laptop,31.33,386.55,1,1
73,Vitamin C,192.15,99.63,10,1
74,Sweater,795.29,225.84,2,36
75,Pain Reliever,369.83,13.37,10,94
76,Sneakers,937.83,263.66,2,67
77,Yoga Mat,400.11,435.26,6,78
78,Jacket,508.51,449.43,2,17
79,Jeans,283.09,299.75,2,19
80,Bluetooth Speaker,195.61,99.54,1,65
81,Pasta,831.76,366.93,9,71
82,Self-Help Book,608.84,332.61,3,22
83,Action Figure,93.58,398.3,7,11
84,Coffee Maker,783.41,12.51,4,98
85,Vacuum Cleaner,187.43,485.25,4,27
86,Dollhouse,147.23,74.54,7,51
87,GPS Navigator,918.07,195.08,8,74
88,Tire Inflator,313.91,74.44,8,36
89,Coffee Maker,853.99,437.97,4,26
90,Bluetooth Speaker,298.98,400.91,1,1
91,Car Vacuum,307.74,455.26,8,15
92,Coffee Maker,738.68,195.06,4,84
93,Jeans,795.82,443.86,2,91
94,T-Shirt,706.04,439.35,2,69
95,Car Vacuum,752.03,76.33,8,54
96,Tennis Racket,634.45,128.04,6,43
97,T-Shirt,798.96,47.16,2,85
98,Perfume,651.43,110.44,5,31
99,Sanitizer,570.79,43.24,10,99
100,Vitamin C,836.59,437.69,10,63
101,Yoga Mat,326.14,92.68,6,87
102,Smartphone,345.18,396.04,1,60
103,Board Game,373.29,304.9,7,72
104,Action Figure,538.95,455.58,7,82
105,Bluetooth Speaker,859.52,308.59,1,64
106,Vacuum Cleaner,146.86,493.93,4,26
